"ncomp";"fold";"df";"aic";"bic";"cbic";"dev"
7;11;45000;4.4527580946644;5.14062173531067;4.53841234828339;4.81554315160038
7;12;45000;4.463882514367;5.15174615501327;4.54953676798599;5.16648336309742
7;13;45000;4.48217275513848;5.17003639578475;4.56782700875747;4.89380967056929
7;14;45000;4.43635104244834;5.12421468309461;4.52200529606733;4.76761667486874
7;15;45000;4.49836479598998;5.18622843663625;4.58401904960896;4.83564192339635
7;16;45000;4.47513221896896;5.16299585961523;4.56078647258794;4.7925193978235
7;17;45000;4.47298127648507;5.16084491713134;4.55863553010406;4.99528882514115
7;18;45000;4.47398077043249;5.16184441107876;4.55963502405148;4.80451421104609
7;19;45000;4.46859664140961;5.15646028205588;4.55425089502859;4.72497538753911
7;20;45000;4.45042243573222;5.13828607637849;4.53607668935121;5.01662171960404
8;1;50500;4.36904297915579;5.14097884254772;4.46516608599488;4.96865013009914
8;2;50500;4.38594918318651;5.15788504657844;4.4820722900256;5.02136225362021
8;3;50500;4.39136756109169;5.16330342448362;4.48749066793078;4.8877022446441
8;4;50500;4.41476712885216;5.18670299224409;4.51089023569125;4.77499759729039
8;5;50500;4.40892783809214;5.18086370148407;4.50505094493123;4.97658743037724
8;6;50500;4.38557383936597;5.1575097027579;4.48169694620506;5.02156754824906
8;7;50500;4.38843131187081;5.16036717526273;4.48455441870989;4.93697911662192
8;8;50500;4.37632910444347;5.1482649678354;4.47245221128256;5.02620060314214
8;9;50500;4.38634034631995;5.15827620971187;4.48246345315903;4.99137768496959
8;10;50500;4.38394833915331;5.15588420254523;4.48007144599239;4.81022074411307
8;11;50500;4.39982093450429;5.17175679789622;4.49594404134338;4.83825764540589
8;12;50500;4.40028052245257;5.1722163858445;4.49640362929166;4.96338927862988
8;13;50500;4.3907449083452;5.16268077173713;4.48686801518429;4.88281037304205
8;14;50500;4.3963374554116;5.16827331880352;4.49246056225068;4.89265823668623
8;15;50500;4.38035904569277;5.15229490908469;4.47648215253185;4.750497156746
8;16;50500;4.39611645037775;5.16805231376968;4.49223955721684;5.32955142309039
8;17;50500;4.39809453698338;5.17003040037531;4.49421764382247;5.14992473433324
