"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"NNLM";17.506;0.0219;0.004;0.0099;0.0513;0.5618;"Full";11
"AIRWLS";21.053;0.0211;0.0039;0.0089;0.4312;0.8786;"Full";11
"Newton";11.263;0.0211;0.0039;0.009;0.4599;0.8897;"Full";11
"C-SGD";10.214;0.021;0.0039;0.0106;0.2291;0.695;"Full";11
"B-SGD";5.849;0.0211;0.0039;0.011;0.1508;0.5892;"Full";11
"AvaGrad";5.931;0.0255;0.1433;0.0184;-0.035;0.2486;"Train";11
"Fisher";9.662;0.0221;0.1428;0.0088;0.2255;0.6858;"Train";11
"NBWaVE";33.096;0.0207;0.1426;0.0113;0.395;0.8025;"Train";11
"CMF";31.466;0.0227;0.1429;0.0093;0.074;0.4971;"Train";11
"NMF";26.717;0.0229;0.143;0.0105;0.0437;0.4927;"Train";11
"NNLM";17.506;0.0217;0.1427;0.0087;0.0513;0.5618;"Train";11
"AIRWLS";21.053;0.0209;0.1426;0.0073;0.4312;0.8786;"Train";11
"Newton";11.263;0.0209;0.1426;0.0073;0.4599;0.8897;"Train";11
"C-SGD";10.214;0.0204;0.1425;0.0098;0.2291;0.695;"Train";11
"B-SGD";5.849;0.02;0.1425;0.0103;0.1508;0.5892;"Train";11
"AvaGrad";5.931;0.0261;0.4934;0.0202;-0.035;0.2486;"Test";11
"Fisher";9.662;0.0231;0.4929;0.0182;0.2255;0.6858;"Test";11
"NBWaVE";33.096;0.0229;0.493;0.0132;0.395;0.8025;"Test";11
"CMF";31.466;0.0237;0.4932;0.0259;0.074;0.4971;"Test";11
"NMF";26.717;0.0238;0.493;0.0173;0.0437;0.4927;"Test";11
"NNLM";17.506;0.0225;0.4931;0.0133;0.0513;0.5618;"Test";11
"AIRWLS";21.053;0.0219;0.493;0.0135;0.4312;0.8786;"Test";11
"Newton";11.263;0.0219;0.493;0.014;0.4599;0.8897;"Test";11
"C-SGD";10.214;0.0228;0.4931;0.013;0.2291;0.695;"Test";11
"B-SGD";5.849;0.0242;0.4931;0.0132;0.1508;0.5892;"Test";11
"AvaGrad";11.163;0.0287;0.0043;0.0177;-0.039;0.2595;"Full";12
"Fisher";9.989;0.0246;0.0037;0.011;0.3577;0.8044;"Full";12
"NBWaVE";19.487;0.0234;0.0035;0.0116;0.385;0.8546;"Full";12
"CMF";33.33;0.0258;0.0039;0.0141;0.0358;0.4745;"Full";12
"NMF";26.668;0.026;0.0039;0.0124;0.0228;0.5604;"Full";12
"NNLM";17.431;0.0242;0.0037;0.01;0.0368;0.7509;"Full";12
